PAIS,PROVINCIA,CLUB
ECUADOR,Azuay,Paute F.C.
ECUADOR,Azuay,Estrella Roja
ECUADOR,Azuay,Liga de Cuenca
ECUADOR,Azuay,San Pedro del Pongo
ECUADOR,Azuay,Tecni Club
ECUADOR,Azuay,Aviced F.C.
ECUADOR,Azuay,Cruz del Vado
ECUADOR,Azuay,Baldor Bermeo Cabrera
ECUADOR,Azuay,Cuenca F.C.
ECUADOR,Azuay,D.P. El Cuartel
ECUADOR,Azuay,Atenas F.C.
ECUADOR,Azuay,Santa Ana S.C.
ECUADOR,Azuay,Santa Isabel F.C.
ECUADOR,Azuay,Cuenca Jrs.
ECUADOR,Bolívar,UniBolívar
ECUADOR,Bolívar,San Luis
ECUADOR,Bolívar,Primero de Mayo
ECUADOR,Bolívar,Guaranda F.C.
ECUADOR,Bolívar,C.D. Echeandía
ECUADOR,Bolívar,Mineros S.C.
ECUADOR,Bolívar,Juventud Minera
ECUADOR,CAÑAR,Azogues S.C.
ECUADOR,CAÑAR,Udinense F.C.
ECUADOR,CAÑAR,C.F. Tigres
ECUADOR,CAÑAR,Junior F.C.
ECUADOR,CAÑAR,Canteros
ECUADOR,CAÑAR,Atlético Azogues
ECUADOR,CAÑAR,Triunfo City
ECUADOR,CAÑAR,Troncal FC
ECUADOR,CAÑAR,IDV Azogues
ECUADOR,Carchi,Montúfar F.C.
ECUADOR,Carchi,At. Ciudad de Tulcán
ECUADOR,Carchi,Dunamis 04
ECUADOR,Carchi,Carchi SC
ECUADOR,Chimborazo,Deportivo Guano
ECUADOR,Chimborazo,C.D. Darwin
ECUADOR,Chimborazo,Sonorama F.C.
ECUADOR,Chimborazo,Daquilema F.C.
ECUADOR,Chimborazo,Star Club
ECUADOR,Chimborazo,New SanFran S.C.
ECUADOR,Chimborazo,Alianza
ECUADOR,Chimborazo,Estudiantes de La Plata
ECUADOR,Chimborazo,C.D. Olmedo
ECUADOR,Cotopaxi,Juvenil Junior Salcedo
ECUADOR,Cotopaxi,Atlético Kin
ECUADOR,Cotopaxi,Jonathan Arroyo
ECUADOR,Cotopaxi,Alianza San Felipe
ECUADOR,Cotopaxi,Panamericana SD
ECUADOR,Cotopaxi,UTC
ECUADOR,Cotopaxi,Deportivo Cotopaxi
ECUADOR,Cotopaxi,Cotopaxi F.C.
ECUADOR,Cotopaxi,Cruzeiro F.C.
